dateTime,courseOGTrue,relativeToTN,courseOGMagnetic,relativeToMN,speedOverGroundKnots,SOGKUnits,speedOverGroundKMPH,SOGKMPHUnits,mode,checkSum
2024-04-22 20:25:55.879872,260.4,T,257.0,M,0.0,N,0.0,K,A,23
2024-04-22 20:26:01.880385,266.6,T,263.2,M,0.0,N,0.0,K,A,22
2024-04-22 20:26:07.880444,271.6,T,268.2,M,0.0,N,0.0,K,A,2F
