dateTime,UTCTimeStamp,latitude,latDirection,longitude,lonDirection,gpsQuality,numberOfSatellites,horizontalDilution,altitude,AUnits,geoidalSeparation,GSUnits,ageOfDifferential,stationID,checkSum
2024-04-22 20:25:55.794956,202555.42,3258.0494,N,09642.1723,W,1,7,1.3,200.6,M,-27.3,M,,,6C
2024-04-22 20:26:01.795106,202601.42,3258.0493,N,09642.1722,W,1,7,1.3,200.7,M,-27.3,M,,,69
2024-04-22 20:26:07.795284,202607.42,3258.0493,N,09642.1722,W,1,7,1.3,201.1,M,-27.3,M,,,68
